Id,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Mo Sold,Yr Sold,SalePrice,total bath,total sf,age
109,69,13517,Sawyer,6,1976,2005,HdBoard,Plywood,4,CBlock,3,3,725.0,5,1,1479,4,6,Typ,0,,2,2.0,475.0,3,3,3,2010,130500,2.5,2679.0,34
544,43,11492,SawyerW,7,1996,1997,VinylSd,VinylSd,4,PConc,4,3,913.0,5,1,2122,4,8,Typ,1,,2,2.0,559.0,3,3,4,2009,220000,3.5,3594.0,13
153,68,7922,NAmes,5,1953,2007,VinylSd,VinylSd,3,CBlock,3,3,1057.0,3,1,1057,4,5,Typ,0,,1,1.0,246.0,3,3,1,2010,109000,2.0,2360.0,57
318,73,9802,Timber,5,2006,2007,VinylSd,VinylSd,3,PConc,4,3,384.0,4,1,1444,3,7,Typ,0,,3,2.0,400.0,3,3,4,2010,174000,2.5,2228.0,4
255,82,14235,SawyerW,6,1900,1993,Wd Sdng,Plywood,3,PConc,2,4,676.0,3,1,1445,3,6,Typ,0,,1,2.0,484.0,3,1,3,2010,138500,2.0,2605.0,110
138,137,16492,NAmes,6,1966,2002,BrkFace,Plywood,4,CBlock,3,3,1517.0,5,1,1888,4,6,Mod,1,,3,2.0,578.0,3,3,6,2010,190000,2.5,3983.0,44
2827,35,3675,Edwards,6,2005,2006,VinylSd,VinylSd,3,PConc,4,3,547.0,4,1,1072,3,5,Typ,0,,3,2.0,525.0,3,3,6,2006,140000,3.0,2144.0,1
145,69,12160,NAmes,5,1959,1959,Plywood,Plywood,3,CBlock,3,3,1188.0,2,1,1188,3,6,Typ,0,,2,2.0,531.0,3,3,5,2010,142000,2.0,2907.0,51
1942,69,15783,OldTown,5,1952,1952,Wd Sdng,Wd Sdng,3,CBlock,3,3,924.0,3,1,924,3,6,Typ,0,,1,1.0,420.0,3,3,6,2007,112500,1.0,2268.0,55
1956,70,11606,NAmes,5,1969,1969,Plywood,Plywood,3,PConc,4,3,1040.0,3,1,2080,2,9,Typ,2,,1,2.0,504.0,3,3,9,2007,135000,2.0,3624.0,38
1044,21,1680,BrDale,6,1971,1971,HdBoard,HdBoard,3,CBlock,3,3,483.0,3,1,987,3,4,Typ,0,,1,1.0,264.0,3,3,7,2008,85400,1.5,1734.0,37
