Id,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Mo Sold,Yr Sold,SalePrice,total bath,total sf,age,Neighborhood Interaction,overall SF Interaction
109,69,13517,0,6,1976,2005,HdBoard,Plywood,4,CBlock,3,3,725.0,5,1,1479,4,6,Typ,0,2,2.0,475.0,3,3,3,2010,130500,2.5,2679.0,34,0.0,16074.0
544,43,11492,2,7,1996,1997,VinylSd,VinylSd,4,PConc,4,3,913.0,5,1,2122,4,8,Typ,1,2,2.0,559.0,3,3,4,2009,220000,3.5,3594.0,13,7188.0,25158.0
153,68,7922,0,5,1953,2007,VinylSd,VinylSd,3,CBlock,3,3,1057.0,3,1,1057,4,5,Typ,0,1,1.0,246.0,3,3,1,2010,109000,2.0,2360.0,57,0.0,11800.0
318,73,9802,5,5,2006,2007,VinylSd,VinylSd,3,PConc,4,3,384.0,4,1,1444,3,7,Typ,0,3,2.0,400.0,3,3,4,2010,174000,2.5,2228.0,4,11140.0,11140.0
255,82,14235,2,6,1900,1993,Wd Sdng,Plywood,3,PConc,2,4,676.0,3,1,1445,3,6,Typ,0,1,2.0,484.0,3,1,3,2010,138500,2.0,2605.0,110,5210.0,15630.0
138,137,16492,0,6,1966,2002,BrkFace,Plywood,4,CBlock,3,3,1517.0,5,1,1888,4,6,Mod,1,3,2.0,578.0,3,3,6,2010,190000,2.5,3983.0,44,0.0,23898.0
2827,35,3675,0,6,2005,2006,VinylSd,VinylSd,3,PConc,4,3,547.0,4,1,1072,3,5,Typ,0,3,2.0,525.0,3,3,6,2006,140000,3.0,2144.0,1,0.0,12864.0
145,69,12160,0,5,1959,1959,Plywood,Plywood,3,CBlock,3,3,1188.0,2,1,1188,3,6,Typ,0,2,2.0,531.0,3,3,5,2010,142000,2.0,2907.0,51,0.0,14535.0
1942,69,15783,0,5,1952,1952,Wd Sdng,Wd Sdng,3,CBlock,3,3,924.0,3,1,924,3,6,Typ,0,1,1.0,420.0,3,3,6,2007,112500,1.0,2268.0,55,0.0,11340.0
1956,70,11606,0,5,1969,1969,Plywood,Plywood,3,PConc,4,3,1040.0,3,1,2080,2,9,Typ,2,1,2.0,504.0,3,3,9,2007,135000,2.0,3624.0,38,0.0,18120.0
1044,21,1680,0,6,1971,1971,HdBoard,HdBoard,3,CBlock,3,3,483.0,3,1,987,3,4,Typ,0,1,1.0,264.0,3,3,7,2008,85400,1.5,1734.0,37,0.0,10404.0
2752,64,7488,4,7,2005,2005,VinylSd,VinylSd,4,PConc,4,3,1208.0,5,1,1208,4,6,Typ,0,2,2.0,632.0,3,3,2,2006,183600,2.0,3048.0,1,12192.0,21336.0
807,120,26400,2,5,1880,2007,HdBoard,HdBoard,4,PConc,0,0,0.0,5,1,2016,3,7,Mod,1,1,2.0,576.0,3,2,6,2009,131000,1.0,2592.0,129,5184.0,12960.0
1177,24,2645,6,8,1999,2000,MetalSd,MetalSd,4,PConc,4,3,960.0,5,1,1607,4,7,Typ,0,1,2.0,480.0,3,3,12,2008,200000,3.5,3047.0,9,18282.0,24376.0
1480,74,9627,4,7,2007,2007,VinylSd,VinylSd,4,PConc,4,3,1351.0,5,1,1361,4,6,Typ,0,2,2.0,610.0,3,3,6,2008,193000,2.0,3322.0,1,13288.0,23254.0
324,93,10114,0,5,2004,2005,VinylSd,VinylSd,3,PConc,5,3,1430.0,5,1,1430,4,7,Typ,0,2,2.0,624.0,3,3,3,2010,173500,2.0,3484.0,6,0.0,17420.0
1311,34,4571,0,5,1916,1950,AsbShng,AsbShng,3,BrkTil,3,3,624.0,2,0,1344,3,7,Typ,0,1,3.0,513.0,2,3,5,2008,98000,1.0,2481.0,92,0.0,12405.0
770,80,8816,0,5,1963,1963,VinylSd,VinylSd,3,PConc,3,3,1121.0,3,1,1121,3,5,Typ,0,1,2.0,480.0,3,3,6,2009,139000,2.0,2722.0,46,0.0,13610.0
2063,71,8197,0,6,1977,1977,Plywood,Plywood,3,CBlock,3,3,660.0,5,1,1285,3,7,Typ,1,2,2.0,528.0,3,3,4,2007,143500,1.5,2473.0,30,0.0,14838.0
69,72,8640,6,7,2009,2009,VinylSd,VinylSd,3,PConc,4,3,756.0,5,1,1547,4,7,Typ,0,1,2.0,614.0,3,3,6,2010,215200,2.5,2917.0,1,17502.0,20419.0
2062,109,8724,0,5,1968,1968,VinylSd,VinylSd,3,CBlock,4,3,894.0,4,1,894,3,5,Typ,1,3,2.0,450.0,3,3,5,2007,129000,1.0,2238.0,39,0.0,11190.0
351,40,5664,7,8,2000,2000,CemntBd,CmentBd,4,PConc,4,3,1501.0,5,1,1659,5,5,Typ,1,3,2.0,499.0,3,3,10,2009,278000,3.0,3659.0,9,25613.0,29272.0
2393,103,12867,10,8,2005,2006,CemntBd,CmentBd,4,PConc,5,3,1209.0,5,1,2253,5,8,Typ,1,3,2.0,575.0,3,3,7,2006,344133,2.5,4037.0,1,40370.0,32296.0
12,69,7980,2,6,1992,2007,HdBoard,HdBoard,3,PConc,4,3,1168.0,5,1,1187,3,6,Typ,0,3,2.0,420.0,3,3,3,2010,185000,3.0,2775.0,18,5550.0,16650.0
2339,100,34650,2,5,1955,1955,Wd Sdng,Wd Sdng,3,CBlock,3,3,1056.0,3,0,1056,3,5,Typ,0,3,2.0,572.0,3,3,1,2006,145000,2.0,2684.0,51,5368.0,13420.0
624,92,10573,0,6,1961,1961,MetalSd,MetalSd,3,CBlock,3,3,1453.0,5,1,1453,3,6,Typ,1,2,2.0,530.0,3,3,4,2009,187500,3.0,3436.0,48,0.0,20616.0
86,65,8450,0,5,1965,2009,MetalSd,MetalSd,3,CBlock,3,3,894.0,5,1,894,3,5,Typ,1,1,1.0,336.0,3,3,4,2010,138500,2.0,2124.0,45,0.0,10620.0
1534,69,11700,4,5,1937,1995,WdShing,Wd Shng,3,CBlock,3,3,942.0,5,1,1938,4,7,Min2,1,1,1.0,240.0,3,3,7,2008,198000,2.0,3120.0,71,12480.0,15600.0
2243,75,8250,0,5,1895,2006,VinylSd,VinylSd,3,CBlock,3,3,957.0,2,0,1991,3,9,Typ,0,0,0.0,0.0,0,1,6,2007,119600,2.0,2948.0,112,0.0,14740.0
1957,60,8064,0,5,1949,2006,MetalSd,MetalSd,3,CBlock,3,3,672.0,5,1,924,3,6,Typ,1,1,2.0,576.0,3,3,7,2007,122900,1.0,2172.0,58,0.0,10860.0
380,80,9600,3,8,1981,1981,BrkFace,BrkFace,4,PConc,4,3,2524.0,3,1,2524,4,9,Typ,1,3,2.0,542.0,3,3,7,2009,278000,3.5,5590.0,28,16770.0,44720.0
2860,69,11435,4,8,1929,1950,BrkFace,Stucco,3,PConc,4,3,792.0,2,1,1517,4,7,Typ,2,1,2.0,400.0,3,3,6,2006,230000,1.0,2709.0,77,10836.0,21672.0
2517,30,9549,4,8,1995,1996,BrkFace,BrkFace,4,PConc,4,4,1494.0,5,1,1494,5,6,Typ,1,3,2.0,481.0,3,3,4,2006,270000,2.5,3469.0,11,13876.0,27752.0
1933,60,10950,0,6,1952,1952,Wd Sdng,Wd Sdng,3,CBlock,3,3,948.0,3,1,948,3,5,Typ,0,1,2.0,410.0,3,1,4,2007,125000,1.0,2306.0,55,0.0,13836.0
820,79,10637,4,8,2007,2008,VinylSd,VinylSd,4,PConc,5,3,1705.0,5,1,1718,4,7,Typ,1,2,3.0,826.0,3,3,9,2009,297000,3.0,4249.0,2,16996.0,33992.0
675,80,9000,0,6,1958,1958,Wd Sdng,Wd Sdng,3,CBlock,4,3,160.0,2,1,1142,3,5,Typ,1,2,1.0,384.0,3,3,4,2009,113500,1.0,1686.0,51,0.0,10116.0
2910,41,2665,0,5,1977,1977,CemntBd,CmentBd,3,PConc,3,3,757.0,5,1,1475,3,6,Typ,1,2,1.0,336.0,3,3,7,2006,127000,2.0,2568.0,29,0.0,12840.0
21,105,11751,3,6,1977,1977,Plywood,Plywood,3,CBlock,4,3,1844.0,5,1,1844,3,7,Typ,1,2,2.0,546.0,3,3,1,2010,190000,2.0,4234.0,33,12702.0,25404.0
1873,80,9600,3,7,1973,1973,HdBoard,HdBoard,3,CBlock,3,3,1242.0,2,1,1242,3,6,Typ,1,1,2.0,528.0,3,3,9,2007,175500,1.5,3012.0,34,9036.0,21084.0
2125,60,8428,4,5,1994,1994,VinylSd,VinylSd,3,PConc,4,4,990.0,5,1,990,3,5,Typ,0,1,1.0,384.0,3,3,7,2007,146000,2.0,2364.0,13,9456.0,11820.0
1489,75,9937,0,5,1965,1965,HdBoard,HdBoard,4,CBlock,3,3,1256.0,4,1,1256,3,6,Typ,0,3,1.0,276.0,3,3,6,2008,147500,2.5,2788.0,43,0.0,13940.0
2383,107,13891,10,10,2006,2006,VinylSd,VinylSd,5,PConc,5,4,2076.0,5,1,2076,5,7,Typ,1,3,3.0,850.0,3,3,9,2006,465000,3.5,5002.0,0,50020.0,50020.0
983,69,9101,0,5,1978,1978,Plywood,Plywood,3,PConc,4,3,1097.0,5,1,1110,4,4,Typ,1,3,2.0,602.0,3,3,7,2009,165500,2.0,2809.0,31,0.0,14045.0
1325,81,12150,0,5,1954,1954,MetalSd,MetalSd,3,BrkTil,3,3,1050.0,5,0,1795,3,7,Typ,0,1,1.0,352.0,2,3,11,2008,131500,2.0,3197.0,54,0.0,15985.0
1378,70,11200,0,5,1965,1965,HdBoard,HdBoard,3,CBlock,3,3,1040.0,5,1,1040,3,5,Typ,0,1,1.0,384.0,3,3,2,2008,129500,2.0,2464.0,43,0.0,12320.0
1537,100,9670,4,8,1935,1950,BrkFace,Stucco,3,PConc,3,2,608.0,3,1,1873,3,9,Typ,2,3,2.0,786.0,2,3,6,2008,257076,1.5,3267.0,73,13068.0,26136.0
905,60,10998,0,5,1941,1960,Wd Sdng,Wd Sdng,3,CBlock,3,3,984.0,5,1,1604,3,6,Min2,0,1,2.0,660.0,3,3,7,2009,117000,2.0,3248.0,68,0.0,16240.0
1532,60,7200,4,7,1931,2000,Stucco,Wd Shng,3,BrkTil,4,3,776.0,3,1,1502,3,6,Typ,1,2,1.0,270.0,3,2,2,2008,149000,1.5,2548.0,77,10192.0,17836.0
132,80,9920,0,5,1954,1954,HdBoard,HdBoard,3,CBlock,3,3,1056.0,3,1,1063,3,6,Typ,0,2,1.0,280.0,3,3,2,2010,128000,2.0,2399.0,56,0.0,11995.0
1078,36,2448,10,7,2003,2004,VinylSd,Wd Shng,4,PConc,4,3,764.0,5,1,1626,4,6,Typ,0,2,2.0,474.0,3,3,10,2008,155000,2.5,2864.0,5,28640.0,20048.0
2511,69,2998,6,6,2000,2000,MetalSd,MetalSd,4,PConc,4,3,756.0,5,1,1524,4,4,Typ,0,1,2.0,440.0,3,3,6,2006,166000,2.5,2720.0,6,16320.0,16320.0
912,65,7804,0,4,1928,1950,WdShing,Plywood,3,BrkTil,3,3,1122.0,3,1,1981,4,7,Min2,2,1,2.0,576.0,3,3,12,2009,135000,3.0,3679.0,81,0.0,14716.0
2351,80,16692,3,7,1978,1978,Plywood,Plywood,3,CBlock,4,3,1392.0,3,1,2784,4,12,Typ,2,2,2.0,564.0,3,3,7,2006,250000,4.5,4740.0,28,14220.0,33180.0
330,21,1476,0,4,1970,1970,CemntBd,CmentBd,3,CBlock,3,3,546.0,5,1,1092,3,5,Typ,0,0,0.0,0.0,0,3,3,2010,76000,1.5,1638.0,40,0.0,6552.0
2586,75,10170,0,6,1951,1951,Wd Sdng,Wd Sdng,3,CBlock,3,3,216.0,3,1,1575,4,5,Typ,1,1,2.0,400.0,3,3,6,2006,155000,1.5,2191.0,55,0.0,13146.0
224,80,9364,0,6,1969,1969,HdBoard,HdBoard,3,CBlock,3,3,663.0,3,1,1352,3,7,Typ,0,3,1.0,299.0,3,3,3,2010,158000,1.5,2314.0,41,0.0,13884.0
98,24,2544,6,7,2004,2005,MetalSd,MetalSd,4,PConc,4,3,600.0,5,1,1200,4,4,Typ,0,2,2.0,480.0,3,3,2,2010,149500,3.5,2280.0,6,13680.0,15960.0
2565,82,9888,0,5,1954,1975,MetalSd,MetalSd,3,CBlock,3,3,936.0,3,1,936,3,5,Typ,0,1,1.0,240.0,3,3,3,2006,121000,1.0,2112.0,52,0.0,10560.0
1934,68,7942,0,6,1953,1953,Wd Sdng,Wd Sdng,3,CBlock,3,3,1040.0,3,1,1040,3,6,Typ,0,3,1.0,293.0,3,3,6,2007,136000,1.0,2373.0,54,0.0,14238.0
997,69,15038,2,6,1996,1996,HdBoard,HdBoard,3,PConc,4,3,916.0,4,1,1636,3,7,Typ,1,3,2.0,386.0,3,3,11,2008,173000,2.5,2938.0,12,5876.0,17628.0
